sys:1: DtypeWarning: Columns (2,6,7,8,9,10,11,12,14,19,21,34,40,41,42,43,44,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,65) have mixed types.Specify dtype option on import or set low_memory=False.
Please note that this was run with git commit 6f43848 that has 553,082 genomes parsed and 20,946,107 total prophages

***********************************

Code	Country
-1	nan
89	Iceland
221	United States
53	Denmark
20	Bangladesh
148	Norway
41	China
186	South Africa
203	Taiwan
74	Germany
118	Malaya
99	Japan
31	Brazil
220	United Kingdom
97	Italy
150	Pacific Ocean
201	Switzerland
133	Myanmar
189	South Korea
36	Canada
68	France
13	Atlantic Ocean
207	Thailand
137	Netherlands
169	Russia
19	Baltic Sea
136	Nepal
166	Republic of the Congo
75	Ghana
27	Black Sea
14	Australia
9	Arabian Sea
174	Sargasso Sea
88	Hungary
17	Bahamas
139	New Zealand
162	Puerto Rico
145	North Sea
216	USSR
161	Portugal
205	Tanzania
64	Ethiopia
69	French Guiana
157	Peru
212	Tunisia
92	Indonesia
178	Senegal
177	Sea of Korea
146	Northern Ireland
67	Finland
8	Antarctica
151	Pakistan
125	Mediterranean Sea
78	Guadeloupe
158	Philippine Sea
194	Spain
126	Mexico
90	India
164	Red Sea
200	Sweden
82	Gulf of Mexico
175	Saudi Arabia
132	Mozambique
73	Georgia
21	Barbados
184	Solomon Islands
102	Kenya
38	Caribbean Sea
34	Cambodia
84	Haiti
7	Antarctic Ocean
226	Viet Nam
116	Madagascar
65	Faeroe Islands
52	Democratic Republic of the Congo
49	Czech Republic
2	Africa
211	Trinidad and Tobago
159	Philippines
198	Suriname
143	North America
71	French West Indies
11	Argentina
187	South America
28	Bolivia
182	Slovakia
58	Egypt
43	Costa Rica
108	Laos
195	Sri Lanka
70	French Polynesia
138	New Caledonia
124	Mayotte
172	Samoa
94	Iraq
83	Guyana
93	Iran
80	Guatemala
46	Cuba
154	Panama
170	Rwanda
55	Dominica
160	Poland
183	Slovenia
29	Bosnia and Herzegovina
23	Belgium
96	Israel
222	Uruguay
42	Colombia
119	Malaysia
217	Uganda
230	Zambia
231	Zimbabwe
98	Jamaica
77	Greenland
219	United Arab Emirates
86	Honduras
15	Austria
10	Arctic Ocean
91	Indian Ocean
196	Strait of Malacca
45	Croatia
155	Papua New Guinea
140	Nicaragua
197	Sudan
176	Scotland
95	Ireland
26	Bermuda
39	Chad
40	Chile
66	Fiji
109	Latvia
33	Burkina Faso
120	Mali
141	Niger
54	Djibouti
213	Turkey
57	Ecuador
218	Ukraine
192	Southeastern Pacific
32	Bulgaria
76	Greece
105	Kosovo
121	Malta
142	Nigeria
50	Czechoslovakia
185	Somalia
129	Mongolia
48	Cyprus
4	Algeria
35	Cameroon
123	Mauritius
25	Benin
103	Kiribati
60	England
209	Togo
1	Afghanistan
18	Bahrain
181	Singapore
101	Kazakhstan
179	Serbia
110	Lebanon
225	Venezuela
190	South Sea
0	Adriatic Sea
87	Hong Kong
168	Romania
128	Moldova
22	Belarus
114	Luxembourg
228	Yellow Sea
206	Tasman Sea
62	Eritrea
224	Vanuatu
107	Kyrgyzstan
79	Guam
165	Republic of Korea
134	Namibia
72	Gambia
214	Turkmenistan
113	Lithuania
115	Macedonia
199	Svalbard
117	Malawi
12	Armenia
16	Azerbaijan
127	Micronesia
85	Holland
144	North Korea
210	Tonga
44	Cote d'Ivoire
104	Korea
106	Kuwait
63	Estonia
131	Morocco
81	Guinea
100	Jordan
153	Palestine
135	Neatherlands
156	Paraguay
149	Oman
152	Palau
204	Tajikistan
163	Qatar
30	Botswana
6	Angola
59	El Salvador
111	Lesotho
223	Uzbekistan
147	Northern Mariana Islands
202	Syria
188	South Georgia and the South Sandwich Islands
191	South Sudan
112	Liechtenstein
227	Virgin Islands
167	Reunion
229	Yugoslavia
56	Dominican Republic
3	Albania
37	Cape Verde
180	Sierra Leone
173	Sao Tome and Principe
61	Equatorial Guinea
193	Southern Ocean
122	Martinique
171	Saint Kitts and Nevis
215	Turks and Caicos Islands
5	American Samoa
47	Curacao
51	C�te
130	Montenegro
208	The Gambia
24	Belize

***********************************

Accuracy: 0.12962949570047227
f1	0.05899898847121928

***********************************

Leaving Out	f1 delta
[-1]	0.013380597678609399
[0]	3.952886825103752e-05
[1]	-4.85293873353429e-05
[2]	-1.1393007697028945e-05
[3]	6.77376068468627e-05
[4]	0.0001283100750903987
[5]	-3.4337285708750664e-05
[6]	3.6783152943968556e-05
[7]	4.252477792850151e-05
[8]	9.313365527914563e-05
[9]	5.714574631639907e-05
[10]	9.995925269532663e-05
[11]	0.0002031516104427991
[12]	-4.353320536810978e-06
[13]	0.0006117548085470201
[14]	1.2214018768441637e-05
[15]	8.984156037850771e-05
[16]	-3.487599334318914e-05
[17]	6.452017939891086e-05
[18]	3.460685590417345e-05
[19]	-4.878830481103852e-05
[20]	6.10972347391825e-05
[21]	9.377990913377737e-05
[22]	0.0002074484850035016
[23]	2.5568024397758238e-05
[25]	6.243337456481729e-05
[26]	4.252477792850151e-05
[27]	-1.876296443587e-05
[28]	1.0052650414225928e-05
[29]	4.314438185390457e-05
[30]	0.00011116737666248128
[31]	0.0008599682014128404
[32]	0.0001075395434906451
[33]	0.00010913802109133175
[34]	0.00012920160109573114
[35]	6.7562951494917756e-06
[36]	0.00028257063255700265
[38]	2.1385707300924928e-05
[39]	-7.542967188495231e-06
[40]	0.00014581567330278905
[41]	0.003150573344880968
[42]	-0.00021615717047974992
[43]	4.0202253491244955e-05
[44]	7.19738137456849e-05
[45]	0.00011543958373626956
[46]	4.647475942787943e-05
[47]	8.10877941012228e-05
[48]	3.4064918325249494e-05
[49]	0.00019728361618285423
[50]	5.4192551185071325e-05
[51]	1.2416426454546492e-05
[52]	7.681071057086264e-05
[53]	2.9960161239628302e-05
[54]	-7.814793650428448e-05
[55]	3.2603077223733457e-05
[56]	1.357334534504706e-06
[57]	-9.367720910383182e-06
[58]	3.625336419993408e-05
[59]	6.655371702261187e-05
[60]	1.8475645024072784e-05
[61]	2.72895948026583e-05
[62]	2.334100917190246e-05
[63]	6.655161190349812e-05
[64]	0.0002029484333496978
[65]	4.5803299458503643e-05
[66]	-0.00017668706125544692
[67]	0.00010941369939326123
[68]	0.0001840128315775333
[69]	0.00017452343560853123
[70]	8.062235039366095e-05
[71]	8.034565520072257e-05
[72]	-1.2149239257547295e-05
[73]	-8.312342945469842e-05
[74]	2.1775303050197703e-05
[75]	6.698516276019972e-05
[76]	5.979589733354912e-05
[77]	5.857800788998391e-05
[78]	8.900056251421457e-05
[79]	3.4748225425498824e-05
[80]	5.324068686457517e-05
[81]	0.00011731245073012819
[82]	2.2125533171560297e-05
[83]	8.014392283536148e-05
[84]	3.741525031515647e-05
[85]	4.544776235001352e-05
[86]	2.0903607389995138e-05
[87]	3.07703595828282e-05
[88]	2.6550316146733977e-06
[89]	4.448796715915415e-05
[90]	-1.5460987724730257e-05
[91]	3.863170011202122e-05
[92]	0.00011772390138477251
[93]	3.613095023199259e-05
[94]	-5.288587552686186e-05
[95]	9.495865702629364e-05
[96]	0.0005350571199605053
[97]	-0.00024443040045057235
[98]	-4.67263834029244e-05
[99]	-0.000263779784062744
[100]	0.00011972455890762318
[101]	0.00011291756277175685
[102]	0.0002952313820133584
[103]	8.9751625149119e-05
[104]	1.4555580696955228e-05
[105]	0.00010912519913365559
[106]	2.7579307019201527e-05
[107]	1.02021301984917e-06
[108]	5.80425945490709e-05
[109]	-3.0578362083311106e-05
[110]	0.00010623539712591862
[111]	9.206117564886096e-06
[112]	4.388318653938267e-05
[113]	9.833520419574165e-05
[114]	8.094599175367118e-05
[115]	6.78372546601691e-05
[116]	-7.635980231936179e-06
[117]	9.396501347761627e-05
[118]	4.821694727050879e-05
[119]	0.00016511298159686133
[120]	0.00016667142960506004
[121]	0.00015114793963140472
[122]	0.00015022908205048618
[123]	-6.715520954140436e-05
[124]	7.04680341201136e-05
[125]	5.651001439335723e-05
[126]	1.0380683070437824e-05
[127]	2.250530865736955e-05
[128]	0.00016457993952569833
[129]	7.440099555770796e-06
[130]	-7.912844796238022e-05
[131]	0.00017787006476570333
[132]	0.0001773767050798486
[133]	-4.263513486013615e-05
[134]	7.548098046754326e-06
[135]	4.252477792850151e-05
[136]	-3.242845171557568e-05
[137]	0.001397365960141908
[138]	4.8864232148906894e-05
[139]	0.00021552481338622115
[141]	-7.606051781856166e-05
[142]	-4.183337563649914e-05
[143]	8.062235039366095e-05
[144]	3.5236877189037674e-05
[145]	3.26265062741693e-06
[146]	6.793426118297669e-05
[147]	3.428813526490382e-05
[148]	0.00017623267526252484
[149]	6.200383972632811e-05
[150]	-0.00014437528896693586
[151]	0.0002842069380832174
[152]	8.062235039366095e-05
[153]	3.079334809427681e-05
[154]	0.00011911753723321122
[155]	-6.209376701107883e-06
[156]	6.319283916501883e-05
[157]	0.0001654967488283754
[159]	9.899877795004758e-05
[160]	1.941685025711598e-05
[161]	0.00013081367089250867
[162]	0.00018371893937501466
[163]	4.075332115156122e-05
[164]	5.120069741579303e-05
[165]	4.799871354179558e-05
[166]	6.210961353280559e-05
[167]	4.6249442311366296e-05
[168]	3.721795932930955e-05
[169]	8.466835191343891e-05
[170]	8.480758422738793e-05
[171]	0.00010048134518347157
[173]	4.7618347967015584e-05
[174]	4.3193432326005254e-05
[175]	-0.00013997334671148748
[176]	-7.624372250375488e-05
[177]	0.0
[178]	-0.00010666995391603318
[179]	-7.340430276850385e-06
[181]	-5.53366865972682e-06
[182]	3.864406251118807e-05
